threshold,input_size,total_images,correct_or_reject,no_detection,misclassified_or_false_known,image_level_success_rate,ACCEPT_SORT,ROUTE_TO_REJECT,SKIP_NO_DETECTION,RETRY_VIEW,MANUAL_REVIEW
0.3,640,50,24,8,18,0.48,17,18,13,0,2
0.3,416,50,22,10,18,0.44,22,12,16,0,0
0.3,320,50,22,11,17,0.44,20,12,17,0,1
0.5,640,50,21,17,12,0.42,14,9,25,0,2
0.5,416,50,19,15,16,0.38,18,9,23,0,0
0.5,320,50,18,18,14,0.36,15,11,24,0,0
0.7,640,50,18,21,11,0.36,11,9,30,0,0
0.7,416,50,16,22,12,0.32,12,8,30,0,0
0.7,320,50,15,23,12,0.3,13,7,30,0,0
